"address","year","b_result","bTowers","rTowers","outer_mean_diff","golddiff_mean","air_dragon","baron_nashor","earth_dragon","rift_herald","fire_dragon","elder_dragon","water_dragon","dragon","bKills","rKills","diff"
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001140119?gameHash=c3c116f16aad99c4",2016,"lose",26.536,16.8516666666667,9.68433333333333,-3416.0303030303,NA,NA,NA,NA,NA,NA,NA,NA,7,28,-21
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001150096?gameHash=22757ba685c055f5",2016,"win",18.2023333333333,18.955,-0.752666666666666,2938.275,0,0,0,1,0,0,0,4,15,9,6
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001150104?gameHash=a85abef6914ae1d9",2016,"lose",26.3735,15.646,10.7275,-3273.84210526316,0,0,0,0,0,0,0,1,5,11,-6
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170315?gameHash=bb1cef91bdff4ad7",2016,"win",10.8756666666667,10.7613333333333,0.114333333333335,2296.17647058824,0,1,0,1,0,0,0,2,15,15,0
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001160298?gameHash=b17cded367f938fe",2016,"win",8.63033333333333,4.8055,3.82483333333333,5113.36111111111,0,1,0,0,0,0,0,1,24,7,17
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170318?gameHash=eab13ba4b6301867",2016,"win",7.087,3.304,3.783,6218.875,0,0,0,2,0,0,0,3,13,2,11
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001160305?gameHash=c8aef7bf49b1baf0",2016,"lose",9.741,17.925,-8.184,-3271.64864864865,0,0,0,2,0,0,0,1,4,16,-12
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170331?gameHash=008116321372acb4",2016,"lose",9.177,14.556,-5.379,-3189.65625,NA,NA,NA,NA,NA,NA,NA,NA,2,13,-11
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170332?gameHash=afc0b9f4082a9bb5",2016,"win",24.476,24.7296666666667,-0.253666666666668,79.8235294117647,0,1,0,2,0,0,0,1,25,13,12
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001160307?gameHash=66e8629d098c1723",2016,"lose",4.5165,13.351,-8.8345,-3637.58064516129,NA,NA,NA,NA,NA,NA,NA,NA,4,21,-17
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170335?gameHash=bb7f94ed0b735555",2016,"win",19.8796666666667,15.536,4.34366666666666,1879.71875,0,0,0,0,0,0,0,3,11,4,7
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170336?gameHash=fe1b6d262c03f228",2016,"win",10.0663333333333,11.432,-1.36566666666667,906.891891891892,0,0,0,2,0,0,0,2,18,11,7
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001160312?gameHash=41040cfe5f293b0e",2016,"lose",28.3826666666667,20.657,7.72566666666667,-2459.07142857143,NA,NA,NA,NA,NA,NA,NA,NA,10,12,-2
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170415?gameHash=ee8da674a4d7eabf",2016,"win",13.478,23.6715,-10.1935,4071.63636363636,0,1,0,1,0,0,0,2,19,10,9
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170416?gameHash=41134625838f46ba",2016,"win",7.56333333333333,9.68566666666667,-2.12233333333333,1852.62222222222,0,1,0,1,0,0,0,4,24,11,13
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001160414?gameHash=28c0324626a70cd8",2016,"win",16.73,14.8186666666667,1.91133333333333,-1851.09756097561,0,1,0,1,0,0,0,3,18,21,-3
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001170417?gameHash=b563e86bb83cc491",2016,"lose",20.692,18.3663333333333,2.32566666666667,-2472.91176470588,0,0,0,2,0,0,0,1,7,14,-7
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001260130?gameHash=d219d6d76ac5025b",2016,"win",8.57266666666667,10.0953333333333,-1.52266666666667,2931.3,1,0,0,1,1,0,2,0,15,10,5
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001260153?gameHash=b04ef65ce7106e30",2016,"win",16.919,14.655,2.264,2562.40740740741,0,1,0,1,0,0,0,0,15,7,8
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001270120?gameHash=848372fe64e9e1b9",2016,"lose",5.114,9.384,-4.27,-3487.44827586207,NA,NA,NA,NA,NA,NA,NA,NA,3,22,-19
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001270126?gameHash=045d418ef3801011",2016,"win",16.0586666666667,14.9866666666667,1.072,2119.54054054054,0,2,0,0,0,0,1,0,10,6,4
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001260186?gameHash=ca857b00204583de",2016,"lose",8.456,9.472,-1.016,-2781.07407407407,NA,NA,NA,NA,NA,NA,NA,NA,9,22,-13
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001260191?gameHash=b35c134f5344552f",2016,"lose",4.5695,12.2876666666667,-7.71816666666667,-2847.17948717949,0,0,0,0,1,0,0,0,12,21,-9
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001260192?gameHash=2df6f55891ea113d",2016,"lose",22.3715,21.405,0.966499999999996,-3282.47222222222,0,0,1,0,0,0,0,0,6,19,-13
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001260193?gameHash=c6873ad2aba3579c",2016,"win",19.46,21.288,-1.828,3082.21428571429,0,1,0,0,0,0,1,0,15,9,6
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001260206?gameHash=087f28855610dd06",2016,"win",20.233,25.217,-4.984,2295.85294117647,0,1,0,1,1,0,0,0,14,8,6
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001260214?gameHash=59fb84d4a180e104",2016,"win",18.3156666666667,9.882,8.43366666666667,5613.43243243243,0,1,1,1,0,0,1,0,17,3,14
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001260216?gameHash=7ce72f72da73d1cc",2016,"win",12.1916666666667,16.4175,-4.22583333333333,4789.3,2,1,0,0,0,1,2,0,23,9,14
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001260217?gameHash=258a9b216c83f297",2016,"win",10.2113333333333,7.07,3.14133333333333,780.64,0,0,0,1,0,0,0,0,12,6,6
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001270203?gameHash=aa2f39c41de433a2",2016,"win",21.0696666666667,22.827,-1.75733333333333,3601.76315789474,0,2,1,1,1,0,0,0,12,8,4
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001270211?gameHash=4000195464de770e",2016,"lose",12.4873333333333,13.2653333333333,-0.777999999999999,-2680.48837209302,NA,NA,NA,NA,NA,NA,NA,NA,6,12,-6
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001260275?gameHash=b7096e66f382eafe",2016,"lose",17.716,17.672,0.0440000000000005,1653.35555555556,0,0,0,1,1,0,1,0,14,13,1
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001260276?gameHash=3ddd7796629c24f7",2016,"win",16.329,23.895,-7.566,6443.63636363636,0,1,0,0,1,0,0,0,25,9,16
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280007?gameHash=5aabba7f93581c58",2016,"win",8.513,13.47,-4.957,3094.56756756757,1,1,1,1,0,0,1,0,11,13,-2
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280012?gameHash=a9be62b705fe86f6",2016,"lose",13.1853333333333,11.1883333333333,1.997,-3151.02173913043,0,1,1,0,1,0,2,0,13,21,-8
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001290011?gameHash=b10fc85b26a01909",2016,"win",8.40733333333333,5.075,3.33233333333333,2810.52941176471,1,1,0,1,1,0,1,0,9,4,5
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280014?gameHash=fc7b96bc104c0a91",2016,"win",17.813,15.8725,1.9405,3194.55882352941,1,2,1,0,2,0,0,0,23,7,16
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280016?gameHash=4d6224d7583c1450",2016,"lose",17.053,19.7946666666667,-2.74166666666667,-4103.97435897436,NA,NA,NA,NA,NA,NA,NA,NA,7,18,-11
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280017?gameHash=a6ded174701cfbe7",2016,"lose",NA,15.4146666666667,NA,-6031.15151515152,NA,NA,NA,NA,NA,NA,NA,NA,6,17,-11
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280018?gameHash=adc9978113209650",2016,"lose",24.2196666666667,23.3836666666667,0.835999999999999,-2290.7380952381,0,1,0,0,0,0,0,0,14,29,-15
"http://matchhistory.ru.leagueoflegends.com/ru/#match-details/TREU/1001280019?gameHash=30a5c690efb7c3ac",2016,"win",7.70333333333333,13.9363333333333,-6.233,1996.04081632653,2,2,2,0,0,0,0,0,16,11,5
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310009?gameHash=967ba918802e117f",2016,"win",26.7746666666667,28.056,-1.28133333333333,1586.55555555556,0,1,0,0,1,1,0,0,11,5,6
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310011?gameHash=caeed5737927e996",2016,"lose",16.9713333333333,20.859,-3.88766666666667,1315.31914893617,0,0,0,0,0,0,1,0,17,17,0
